SPRINGBOOT_SECURITY 20:43:34.672 INFO  org.hibernate.validator.internal.util.Version : - HV000001: Hibernate Validator 8.0.1.Final 
SPRINGBOOT_SECURITY 20:43:34.690 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - Starting ThirdprojectApplication using Java 17.0.9 with PID 37158 (/Users/baki/Downloads/springboot_crud_security_keycloak/target/classes started by baki in /Users/baki/Downloads/springboot_crud_security_keycloak) 
SPRINGBOOT_SECURITY 20:43:34.690 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - The following 1 profile is active: "prd" 
SPRINGBOOT_SECURITY 20:43:34.707 INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
SPRINGBOOT_SECURITY 20:43:34.707 INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
SPRINGBOOT_SECURITY 20:43:35.126 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate : - Bootstrapping Spring Data JDBC repositories in DEFAULT mode. 
SPRINGBOOT_SECURITY 20:43:35.147 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate : - Finished Spring Data repository scanning in 20 ms. Found 1 JDBC repository interface. 
SPRINGBOOT_SECURITY 20:43:35.249 INFO  com.ulisesbocchio.jasyptspringboot.configuration.EnableEncryptablePropertiesBeanFactoryPostProcessor : - Post-processing PropertySource instances 
SPRINGBOOT_SECURITY 20:43:35.272 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy 
SPRINGBOOT_SECURITY 20:43:35.272 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
SPRINGBOOT_SECURITY 20:43:35.272 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
SPRINGBOOT_SECURITY 20:43:35.272 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 20:43:35.272 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 20:43:35.273 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper 
SPRINGBOOT_SECURITY 20:43:35.273 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource Config resource 'class path resource [application-prd.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 20:43:35.273 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 20:43:35.273 INFO  com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter : - Converting PropertySource devtools [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper 
SPRINGBOOT_SECURITY 20:43:35.289 INFO  com.ulisesbocchio.jasyptspringboot.filter.DefaultLazyPropertyFilter : - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter 
SPRINGBOOT_SECURITY 20:43:35.343 INFO  com.ulisesbocchio.jasyptspringboot.resolver.DefaultLazyPropertyResolver : - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver 
SPRINGBOOT_SECURITY 20:43:35.344 INFO  com.ulisesbocchio.jasyptspringboot.detector.DefaultLazyPropertyDetector : - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector 
SPRINGBOOT_SECURITY 20:43:35.554 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer : - Tomcat initialized with port 9080 (http) 
SPRINGBOOT_SECURITY 20:43:35.559 INFO  org.apache.coyote.http11.Http11NioProtocol : - Initializing ProtocolHandler ["http-nio-9080"] 
SPRINGBOOT_SECURITY 20:43:35.560 INFO  org.apache.catalina.core.StandardService : - Starting service [Tomcat] 
SPRINGBOOT_SECURITY 20:43:35.560 INFO  org.apache.catalina.core.StandardEngine : - Starting Servlet engine: [Apache Tomcat/10.1.17] 
SPRINGBOOT_SECURITY 20:43:35.586 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : - Initializing Spring embedded WebApplicationContext 
SPRINGBOOT_SECURITY 20:43:35.587 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : - Root WebApplicationContext: initialization completed in 880 ms 
SPRINGBOOT_SECURITY 20:43:35.634 INFO  com.zaxxer.hikari.HikariDataSource : - HikariPool-1 - Starting... 
SPRINGBOOT_SECURITY 20:43:35.706 INFO  com.zaxxer.hikari.pool.HikariPool : - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@2e94587d 
SPRINGBOOT_SECURITY 20:43:35.707 INFO  com.zaxxer.hikari.HikariDataSource : - HikariPool-1 - Start completed. 
SPRINGBOOT_SECURITY 20:43:35.712 INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration : - H2 console available at '/h2-console'. Database available at 'jdbc:mariadb://211.43.12.210:40001/admin?user=admin&password=***' 
SPRINGBOOT_SECURITY 20:43:35.747 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - LogFilter init() 
SPRINGBOOT_SECURITY 20:43:35.833 INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : - LiveReload server is running on port 35729 
SPRINGBOOT_SECURITY 20:43:36.154 INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver : - Exposing 6 endpoint(s) beneath base path '/actuator' 
SPRINGBOOT_SECURITY 20:43:36.293 INFO  org.springframework.security.web.DefaultSecurityFilterChain : - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@33be150d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@46486d6b, org.springframework.security.web.context.SecurityContextHolderFilter@6b43c09c, org.springframework.security.web.header.HeaderWriterFilter@6cd3cdaa, org.springframework.web.filter.CorsFilter@342f0eac, org.springframework.security.web.csrf.CsrfFilter@66a53e5f, org.springframework.security.web.authentication.logout.LogoutFilter@2a35e9b1, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@5dac7e2f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@45616f34, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2f70df66, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@53e98e81, org.springframework.security.web.session.SessionManagementFilter@1b7f050f, org.springframework.security.web.access.ExceptionTranslationFilter@20189117, org.springframework.security.web.access.intercept.AuthorizationFilter@215a8ab0] 
SPRINGBOOT_SECURITY 20:43:36.431 INFO  org.apache.coyote.http11.Http11NioProtocol : - Starting ProtocolHandler ["http-nio-9080"] 
SPRINGBOOT_SECURITY 20:43:36.436 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer : - Tomcat started on port 9080 (http) with context path '' 
SPRINGBOOT_SECURITY 20:43:36.447 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - Started ThirdprojectApplication in 1.904 seconds (process running for 2.281) 
SPRINGBOOT_SECURITY 20:43:36.450 INFO  com.kt.edu.thirdproject.runner.KeycloakInitializerRunner : - Initializing 'employee-services' realm in Keycloak ... 
SPRINGBOOT_SECURITY 20:43:36.643 INFO  com.kt.edu.thirdproject.runner.KeycloakInitializerRunner : - Removing already pre-configured 'employee-services' realm 
SPRINGBOOT_SECURITY 20:43:38.687 INFO  com.kt.edu.thirdproject.runner.KeycloakInitializerRunner : - Testing getting token for 'admin' ... 
SPRINGBOOT_SECURITY 20:43:38.687 INFO  com.kt.edu.thirdproject.runner.KeycloakInitializerRunner : - admin password 'admin' ... 
SPRINGBOOT_SECURITY 20:43:38.818 INFO  com.kt.edu.thirdproject.runner.KeycloakInitializerRunner : - 'admin' token: eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJkT3NiQzd1Q2xScVhDTlVsNUVhZ0hzNUFmUnlaNzd3c1hWVGtBTHJBR3hVIn0.eyJleHAiOjE3MDgzNDMzMTgsImlhdCI6MTcwODM0MzAxOCwianRpIjoiMjNjYWIxNzktNjFjYS00ODg4LTg2NDMtNDYzODdhYTA3OTE0IiwiaXNzIjoiaHR0cDovL2tleWNsb2FrLjIxMS40My4xMi4yMTAubmlwLmlvOjMwNTkzL3JlYWxtcy9lbXBsb3llZS1zZXJ2aWNlcyIsInN1YiI6IjEyNTlhOGRjLThhNjItNGQ1Yi05N2NhLTljODdkYmYzMmQ4ZiIsInR5cCI6IkJlYXJlciIsImF6cCI6ImVkdS1hcHAiLCJzZXNzaW9uX3N0YXRlIjoiZjQ2ODk0ZTctYmM5OS00ZTZmLThlNjAtZjc3MjM2ODg4MWQ4IiwiYWNyIjoiMSIsImFsbG93ZWQtb3JpZ2lucyI6WyJodHRwOi8vbG9jYWxob3N0OjMwMDAiXSwicmVzb3VyY2VfYWNjZXNzIjp7ImVkdS1hcHAiOnsicm9sZXMiOlsiRURVX1VTRVIiLCJFRFVfTUFOQUdFUiJdfX0sInNjb3BlIjoicHJvZmlsZSBlbWFpbCIsInNpZCI6ImY0Njg5NGU3LWJjOTktNGU2Zi04ZTYwLWY3NzIzNjg4ODFkOCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWRtaW4ifQ.b_6qs-FIydgFJesxwchy57DqEpd1qqEZR3I_ElY0TQLNOpmQ4IspukDqXkvR9Ek8-0ZkezGHaQb3VxwEzOJ-T31RhJ1CWCasqHgT8Tnh_JbRitfVyjIq-xYJk8o6hdc3OzOcxmu-WRjkBKPxNWLo42zWJzWoL0SFMg8d2xOQIxK5tbhNbfzMBnN5rCbISJoUiCU7hY3mz8svArNM5j5PR3-qRvajCRvGwo7mqEm5CBfKlwMQQXQt5SLZgfyyXikyXj3R27tUzLybhDaqsFhSQeju4cZJjytoU2AthoMZ_-aytzH2zTW9T7zHHnKIqrVtgjJ_Gc0_IFLB0v1I1f2CQg 
SPRINGBOOT_SECURITY 20:43:38.819 INFO  com.kt.edu.thirdproject.runner.KeycloakInitializerRunner : - 'employee-services' initialization completed successfully! 
SPRINGBOOT_SECURITY 20:44:04.515 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : - Initializing Spring DispatcherServlet 'dispatcherServlet' 
SPRINGBOOT_SECURITY 20:44:04.516 INFO  org.springframework.web.servlet.DispatcherServlet : - Initializing Servlet 'dispatcherServlet' 
SPRINGBOOT_SECURITY 20:44:04.517 INFO  org.springframework.web.servlet.DispatcherServlet : - Completed initialization in 1 ms 
SPRINGBOOT_SECURITY 20:44:04.649 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [/api/v1/employees] LogFilter doFilter Start 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Headers 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - cookie = JSESSIONID=B4A7F331F9E671B2E7050CD2A437371D 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept-language = ko-KR,ko;q=0.9,en-US;q=0.8,en;q=0.7 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept-encoding = gzip, deflate, br 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - referer = http://localhost:3000/employees 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-dest = empty 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-mode = cors 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-fetch-site = same-origin 
SPRINGBOOT_SECURITY 20:44:04.650 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - accept = */* 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua-platform = "macOS" 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - user-agent = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - authorization = Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJkT3NiQzd1Q2xScVhDTlVsNUVhZ0hzNUFmUnlaNzd3c1hWVGtBTHJBR3hVIn0.eyJleHAiOjE3MDgzNDMzNDQsImlhdCI6MTcwODM0MzA0NCwiYXV0aF90aW1lIjoxNzA4MzQzMDQxLCJqdGkiOiJmZjNhMGQxYy0yMTI0LTQxZjItYmEwYy1kMzk2YTNlZWIzZDkiLCJpc3MiOiJodHRwOi8va2V5Y2xvYWsuMjExLjQzLjEyLjIxMC5uaXAuaW86MzA1OTMvcmVhbG1zL2VtcGxveWVlLXNlcnZpY2VzIiwic3ViIjoiMTI1OWE4ZGMtOGE2Mi00ZDViLTk3Y2EtOWM4N2RiZjMyZDhmIiwidHlwIjoiQmVhcmVyIiwiYXpwIjoiZWR1LWFwcCIsIm5vbmNlIjoiMTgzMGNiZTctOTZiZi00MmFkLTkwODktY2I3NWNlNDU4MDU2Iiwic2Vzc2lvbl9zdGF0ZSI6IjlmNTdhMDExLWQ5YTMtNGY4NC04YWI0LTQxOWZlZWIxMmExMiIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDozMDAwIl0sInJlc291cmNlX2FjY2VzcyI6eyJlZHUtYXBwIjp7InJvbGVzIjpbIkVEVV9VU0VSIiwiRURVX01BTkFHRVIiXX19LCJzY29wZSI6Im9wZW5pZCBwcm9maWxlIGVtYWlsIiwic2lkIjoiOWY1N2EwMTEtZDlhMy00Zjg0LThhYjQtNDE5ZmVlYjEyYTEyIiwiZW1haWxfdmVyaWZpZWQiOmZhbHNlLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJhZG1pbiJ9.HMoASsH5sePi1JOLhdFonbIbaafsgs3cOYRFjETCJuoMn43SQKacC_N2stsVZPFhyQiETgmew7mb4_JzCcXWBis5KYUPti8dfjjoHzLr9XZtmn66X81XZWpXUFDWBzSkPI3p9UYbJ678Aeu8S21FP3D3smc7axL3YbCrnR5DqC_SxkOtx-xX7lz36T4rRQCtx9cd2QrVH-F4CuG5RmqGmgeAmR9jagjFNFnaZ1XuDtNabIzoKStHI5_7Mp3f6jCJXVIDphy5-CUhgBXhMQ9d1DzzBsu96pHz1nMfg3gBsVOMAfPkmMTAxwi6FL6Gzgms9r7jKeDoG462rX87blNaBQ 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua-mobile = ?0 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - sec-ch-ua = "Google Chrome";v="119", "Chromium";v="119", "Not?A_Brand";v="24" 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - connection = close 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - host = localhost:9080 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Parameters 
SPRINGBOOT_SECURITY 20:44:04.651 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : -  Row data 
SPRINGBOOT_SECURITY 20:44:04.676 INFO  com.kt.edu.thirdproject.employee.service.EmployeeService : - Request to get all Employees 
SPRINGBOOT_SECURITY 20:44:04.677 INFO  com.kt.edu.thirdproject.employee.service.EmployeeService : - h2 password : admin 
SPRINGBOOT_SECURITY 20:44:04.743 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [/api/v1/employees] LogFilter doFilter End 
SPRINGBOOT_SECURITY 20:44:08.735 INFO  com.kt.edu.thirdproject.common.filter.LogFilter : - [/api/v1/employee/10] LogFilter doFilter Start 
